"name.x","fips","population.x","pop_sqmi.x","white.x","black.x","hispanic.x","other_race.x","pct_male.x","pct_female.x","med_age.x","all_rate.x","mddo_rate.x","nppa_rate.x","count_all.x","mddo_count.x","nppa_count.x","name.y","population.y","pop_sqmi.y","white.y","black.y","hispanic.y","other_race.y","pct_male.y","pct_female.y","med_age.y","all_rate.y","mddo_rate.y","nppa_rate.y","count_all.y","mddo_count.y","nppa_count.y","year","pct_change_all","pct_change_mddo","pct_change_nppa"
"Itasca",27061,45360,15.5,93.0224867724868,0.317460317460317,0.919312169312169,0.163139329805996,50.1477072310406,49.1865079365079,45.3,14.1093474426808,12.7865961199295,1.32275132275132,64,58,6,"Itasca",45360,15.5,93.0224867724868,0.317460317460317,0.919312169312169,0.163139329805996,50.1477072310406,49.1865079365079,45.3,10.3615520282187,9.03880070546737,1.32275132275132,47,41,6,"2019 - 2021",0.0374779541446208,0.0374779541446208,0
"Kandiyohi",27067,42639,49.5,91.9486854757382,2.30774642932527,11.0462252867094,2.863575599803,49.4336171110955,49.6282745843008,39.5,17.5895307113206,12.8989891883018,4.69054152301883,75,55,20,"Kandiyohi",42639,49.5,91.9486854757382,2.30774642932527,11.0462252867094,2.863575599803,49.4336171110955,49.6282745843008,39.5,8.4429747414339,6.33223105607542,2.11074368535847,36,27,9,"2019 - 2021",0.0914655596988672,0.0656675813222637,0.0257979783766036
"Kittson",27069,4558,4.1,98.376480912681,0.241333918385257,1.51382185168934,0.263273365511189,50.1535761298815,49.7147871873629,48.2,8.77577885037297,6.58183413777973,2.19394471259324,4,3,1,"Kittson",4558,4.1,98.376480912681,0.241333918385257,1.51382185168934,0.263273365511189,50.1535761298815,49.7147871873629,48.2,10.9697235629662,8.77577885037297,2.19394471259324,5,4,1,"2019 - 2021",-0.0219394471259324,-0.0219394471259324,0
"Koochiching",27071,13184,4.2,95.5172936893204,0.591626213592233,1.11498786407767,0.189623786407767,50.121359223301,50.8419296116505,46.3,8.34344660194175,6.06796116504854,2.2754854368932,11,8,3,"Koochiching",13184,4.2,95.5172936893204,0.591626213592233,1.11498786407767,0.189623786407767,50.121359223301,50.8419296116505,46.3,10.618932038835,6.82645631067961,3.79247572815534,14,9,5,"2019 - 2021",-0.022754854368932,-0.00758495145631068,-0.0151699029126214
"Lac qui Parle",27073,7182,9.2,98.6772486772487,0.236702868281816,1.50375939849624,0.6265664160401,50.5291005291005,50.5430242272348,48.7,27.8473962684489,20.8855472013367,6.96184906711222,20,15,5,"Lac qui Parle",7182,9.2,98.6772486772487,0.236702868281816,1.50375939849624,0.6265664160401,50.5291005291005,50.5430242272348,48.7,27.8473962684489,20.8855472013367,6.96184906711222,20,15,5,"2019 - 2021",0,0,0
"Lake of the Woods",27077,4037,2.3,95.9623482784246,0.346792172405251,0.866980431013128,0.322021302947733,51.2261580381471,48.972008917513,48.4,12.385434728759,9.90834778300718,2.4770869457518,5,4,1,"Lake of the Woods",4037,2.3,95.9623482784246,0.346792172405251,0.866980431013128,0.322021302947733,51.2261580381471,48.972008917513,48.4,7.43126083725539,4.95417389150359,2.4770869457518,3,2,1,"2019 - 2021",0.0495417389150359,0.0495417389150359,0
"McLeod",27085,36487,72.2,96.3603475210349,0.545399731411188,4.9634116260586,1.49916408583879,50.0918135226245,50.3576616329104,39.1,26.8588812453751,24.9403897278483,1.91849151752679,98,91,7,"McLeod",36487,72.2,96.3603475210349,0.545399731411188,4.9634116260586,1.49916408583879,50.0918135226245,50.3576616329104,39.1,19.733055608847,16.9923534409516,2.74070216789541,72,62,10,"2019 - 2021",0.0712582563652808,0.079480362868967,-0.00822210650368625
"Mahnomen",27087,5499,9.4,49.3362429532642,0.200036370249136,1.80032733224223,0.0545553737043099,50.0454628114203,48.3906164757229,37.4,12.7295871976723,5.45553737043099,7.27404982724132,7,3,4,"Mahnomen",5499,9.4,49.3362429532642,0.200036370249136,1.80032733224223,0.0545553737043099,50.0454628114203,48.3906164757229,37.4,12.7295871976723,3.63702491362066,9.09256228405165,7,2,5,"2019 - 2021",0,0.0181851245681033,-0.0181851245681033
"Marshall",27089,9382,5.2,97.196759752718,0.277126412278832,3.59198465146024,1.57748880835643,50.9592837348113,49.6482626305692,44,3.19761244937114,1.06587081645705,2.13174163291409,3,1,2,"Marshall",9382,5.2,97.196759752718,0.277126412278832,3.59198465146024,1.57748880835643,50.9592837348113,49.6482626305692,44,4.26348326582818,3.19761244937114,1.06587081645705,4,3,1,"2019 - 2021",-0.0106587081645705,-0.0213174163291409,0.0106587081645705
"Meeker",27093,23233,36,97.546593207937,0.331425128050618,3.30133861317953,1.1707485042827,50.9318641587397,49.3565187448887,41.2,5.16506693065898,3.87380019799423,1.29126673266474,12,9,3,"Meeker",23233,36,97.546593207937,0.331425128050618,3.30133861317953,1.1707485042827,50.9318641587397,49.3565187448887,41.2,12.9126673266474,11.1909783497611,1.72168897688633,30,26,4,"2019 - 2021",-0.0774760039598846,-0.0731717815176688,-0.00430422244221581
"Morrison",27097,33545,29.1,96.6641824414965,0.390520196750633,1.19839022208973,0.310031301237144,49.9210016395886,49.0445669995528,40.6,7.45267551050827,4.17349828588463,3.27917722462364,25,14,11,"Morrison",33545,29.1,96.6641824414965,0.390520196750633,1.19839022208973,0.310031301237144,49.9210016395886,49.0445669995528,40.6,4.76971232672529,3.57728424504397,1.19242808168132,16,12,4,"2019 - 2021",0.0268296318378298,0.00596214040840662,0.0208674914294232
"Norman",27107,6651,7.6,97.0530747256052,0.195459329424147,4.14975191700496,1.38325063900165,51.3757329724853,51.6463689670726,45.1,24.0565328522027,12.0282664261013,12.0282664261013,16,8,8,"Norman",6651,7.6,97.0530747256052,0.195459329424147,4.14975191700496,1.38325063900165,51.3757329724853,51.6463689670726,45.1,31.574199368516,22.55299954894,9.021199819576,21,15,6,"2019 - 2021",-0.0751766651631334,-0.105247331228387,0.0300706660652533
"Otter Tail",27111,57599,25.9,95.6266601850727,0.746540738554489,2.58685046615393,0.885432038750673,49.8689213354399,49.6171808538343,46.1,12.5002170176566,10.590461639959,1.90975537769753,72,61,11,"Otter Tail",57599,25.9,95.6266601850727,0.746540738554489,2.58685046615393,0.885432038750673,49.8689213354399,49.6171808538343,46.1,9.89600513897811,7.81263563603535,2.08336950294276,57,45,12,"2019 - 2021",0.0260421187867845,0.0277782600392368,-0.0017361412524523
"Pennington",27113,14214,23,91.930491065147,1.3507809202195,2.67342057126776,0.851273392429999,48.3326298016041,49.6693400872379,38.8,28.8448009005206,24.6236105248347,4.22119037568594,41,35,6,"Pennington",14214,23,91.930491065147,1.3507809202195,2.67342057126776,0.851273392429999,48.3326298016041,49.6693400872379,38.8,21.8094836077107,17.5882932320248,4.22119037568594,31,25,6,"2019 - 2021",0.0703531729280991,0.0703531729280991,0
"Polk",27119,31954,16,92.304562809038,0.844964636665206,5.3827376854228,1.55536083119484,49.5180572072354,49.3741002691369,39.8,30.6690868122927,25.6618889653877,5.00719784690493,98,82,16,"Polk",31954,16,92.304562809038,0.844964636665206,5.3827376854228,1.55536083119484,49.5180572072354,49.3741002691369,39.8,25.9748388308193,22.8453401765037,3.12949865431558,83,73,10,"2019 - 2021",0.0469424798147337,0.0281654878888402,0.0187769919258935
"Pope",27121,11054,15.4,97.3946082865931,0.343766962185634,0.859417405464085,0.262348471141668,50.2713949701466,49.1948615885652,45.9,10.8557988058621,7.23719920390809,3.61859960195404,12,8,4,"Pope",11054,15.4,97.3946082865931,0.343766962185634,0.859417405464085,0.262348471141668,50.2713949701466,49.1948615885652,45.9,13.5697485073277,7.23719920390809,6.33254930341958,15,8,7,"2019 - 2021",-0.0271394970146553,0,-0.0271394970146553
"Red Lake",27125,4148,9.6,94.8408871745419,0.192864030858245,2.43490838958534,0.650916104146577,50.2169720347155,48.3606557377049,41.8,24.1080038572806,16.8756027000964,7.23240115718419,10,7,3,"Red Lake",4148,9.6,94.8408871745419,0.192864030858245,2.43490838958534,0.650916104146577,50.2169720347155,48.3606557377049,41.8,19.2864030858245,14.4648023143684,4.82160077145612,8,6,2,"2019 - 2021",0.0482160077145612,0.0241080038572806,0.0241080038572806
"Renville",27129,15567,15.8,96.4476135414659,0.282649193807413,6.71934219823987,2.28688893171452,51.0567225541209,49.9903642320293,44.2,1.92715359414145,1.28476906276097,0.642384531380484,3,2,1,"Renville",15567,15.8,96.4476135414659,0.282649193807413,6.71934219823987,2.28688893171452,51.0567225541209,49.9903642320293,44.2,1.92715359414145,1.28476906276097,0.642384531380484,3,2,1,"2019 - 2021",0,0,0
"Roseau",27135,15535,9.3,95.0563244287094,0.251046025104602,0.746700997747023,0.10943031863534,51.3678789829417,49.237206308336,40.7,26.3920180238172,20.598648213711,5.79336981010621,41,32,9,"Roseau",15535,9.3,95.0563244287094,0.251046025104602,0.746700997747023,0.10943031863534,51.3678789829417,49.237206308336,40.7,14.1615706469263,10.943031863534,3.21853878339234,22,17,5,"2019 - 2021",0.122304473768909,0.0965561635017702,0.0257483102671387
